INFO:notifications.models: Send follow request push message for id = 1, follower = 1 (2017-01-13 07:34:29; models.py:39)
INFO:notifications.models: Send push message: type=0, user=1, text=@admin started following you., payload={'userId': 1} (2017-01-13 07:35:51; models.py:203)
INFO:notifications.models: Send push message: type=0, user=1, text=@admin started following you., payload={'userId': 1} (2017-01-13 07:36:02; models.py:203)
INFO:notifications.models: Send push message: type=0, user=1, text=@admin started following you., payload={'userId': 1} (2017-01-13 07:49:38; models.py:203)
INFO:notifications.models: Send push message: type=0, user=1, text=@admin started following you., payload={'parentId': 2, 'commentId': 1, 'postId': 1, 'userId': 1} (2017-01-13 07:50:25; models.py:203)
INFO:smsconfirmation.views: {'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_D8d6DQyicUW3fOK98GuQ0w', 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'errorCode': 40107} (2017-01-13 07:51:52; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_oUUPbCshc0G1IFGpnZcOyw', 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'errorCode': 40107} (2017-01-13 07:52:14; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_AE4GwRDyakuyCCiLbyNjcg', 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'errorCode': 40107} (2017-01-13 07:54:08; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_BBbuClXP1kGUcmH13Zkt7Q', 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'errorCode': 40107} (2017-01-13 07:54:15; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_Dls+lRSb7ki18JhHEMA/Ng', 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'errorCode': 40107} (2017-01-13 07:54:18; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_TvSQDHlBukOUiFOg/foFfA', 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'errorCode': 40107} (2017-01-13 07:54:18; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_n+pc5j5vjEChyv/5Qp2PEg', 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'errorCode': 40107} (2017-01-13 07:54:19; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_OcMPI+xbzkWFsPhs1se7vQ', 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'errorCode': 40107} (2017-01-13 07:54:19; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_rBWOhBt/xUKjRASAnGq/Ww', 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'errorCode': 40107} (2017-01-13 07:54:19; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_YvJdQ5TkcUCiFo/3JVdLHw', 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'errorCode': 40107} (2017-01-13 07:54:19; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_ULxX59u//0i8o1HshFxH5A', 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'errorCode': 40107} (2017-01-13 07:54:20; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_FR7wf71QFUmsSyo6sAjXJw', 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'errorCode': 40107} (2017-01-13 07:54:21; views.py:188)
